iter	RMSE
0	0.1594453633
1	0.1528439049
2	0.1468475734
3	0.1409689543
4	0.1354741807
5	0.1302708341
6	0.1253610368
7	0.1208924351
8	0.1165217523
9	0.1124416627
10	0.1085956612
11	0.1049711484
12	0.1015933144
13	0.0984298857
14	0.09546113286
15	0.0927493614
16	0.09012084023
17	0.08769253601
18	0.08552804923
19	0.08342589855
20	0.0814033482
21	0.07953489497
22	0.07778731718
23	0.07613590995
24	0.07461884518
25	0.07320038669
26	0.07190102764
27	0.07077857253
28	0.0696852623
29	0.06865046593
30	0.0677830097
31	0.06690222955
32	0.06615697397
33	0.06540259244
34	0.06470873386
35	0.06406260151
36	0.06348239742
37	0.06295673163
38	0.0624839574
39	0.06199918745
40	0.06155882364
41	0.06118456397
42	0.06083465981
43	0.06049542188
44	0.06019195822
45	0.05991268447
46	0.05965408613
47	0.059429618
48	0.05921518222
49	0.05901909873
50	0.05884787162
51	0.05868256909
52	0.05853862348
53	0.0583985601
54	0.0582783341
55	0.05816055814
56	0.05805691519
57	0.05796371231
58	0.0578734903
59	0.05779547112
60	0.0577202056
61	0.0576495963
62	0.05759128869
63	0.0575320716
64	0.05747576095
65	0.05742539936
66	0.05737732251
67	0.05733572253
68	0.0572940802
69	0.05725557262
70	0.05722337938
71	0.05719009804
72	0.05716597912
73	0.05713405651
74	0.05710850988
75	0.05708189745
76	0.05705946861
77	0.05703806838
78	0.05701557714
79	0.05699640705
80	0.05697972619
81	0.05696582158
82	0.05694715115
83	0.05693329134
84	0.05691877126
85	0.05690303661
86	0.05689244703
87	0.05687959693
88	0.05686630511
89	0.05685303432
90	0.05684034758
91	0.05682788396
92	0.05681725385
93	0.0568077585
94	0.05679869674
95	0.05679195757
96	0.05678380468
97	0.05677369357
98	0.05676524877
99	0.05675837725
100	0.05675283501
101	0.05674443584
102	0.05673580564
103	0.05673005866
104	0.05672198264
105	0.05671465646
106	0.05670768173
107	0.05670300171
108	0.05669892336
109	0.05669319814
110	0.05668748544
111	0.05667813471
112	0.05667051121
113	0.0566669317
114	0.05666194856
115	0.05665712204
116	0.05665332093
117	0.05664976226
118	0.05664307725
119	0.05663968295
120	0.05663350809
121	0.05663097433
122	0.05662604027
123	0.05662213347
124	0.05661877266
125	0.05661633635
126	0.05660815829
127	0.05660543431
128	0.05660265454
129	0.05659761847
130	0.05659374481
131	0.05658780748
132	0.05658482832
133	0.05657957958
134	0.05657633184
135	0.05657196154
136	0.05656847302
137	0.05656590047
138	0.05656195639
139	0.05655655573
140	0.05655444653
141	0.05655047298
142	0.05654830055
143	0.05654082785
144	0.05653649259
145	0.05653379543
146	0.05652826998
147	0.05652462845
148	0.05651857281
149	0.05651606739
150	0.05651354603
151	0.0565103756
152	0.05650550281
153	0.05650155455
154	0.05649913287
155	0.05649735441
156	0.05649541438
157	0.05649413542
158	0.05649077424
159	0.05648748755
160	0.05648494305
161	0.05648249152
162	0.05647904589
163	0.05647338449
164	0.05647074264
165	0.05646644945
166	0.05646337015
167	0.05646165266
168	0.05645897981
169	0.05645637915
170	0.05645354797
171	0.05645039557
172	0.0564454269
173	0.05644301009
174	0.0564396791
175	0.056437299
176	0.05643506973
177	0.05643270852
178	0.056429593
179	0.0564267011
180	0.05642444876
181	0.0564206912
182	0.05641789925
183	0.0564152031
184	0.0564109885
185	0.05640876451
186	0.05640708312
187	0.0564060777
188	0.05640458593
189	0.05640074315
190	0.05639691496
191	0.05639328241
192	0.05639061866
193	0.05638674727
194	0.05638360952
195	0.05638113293
196	0.05637899401
197	0.05637590536
198	0.05637346007
199	0.05637145927
200	0.05636993849
201	0.05636840845
202	0.05636593339
203	0.05636299126
204	0.05636065829
205	0.0563587276
206	0.05635599918
207	0.05635386263
208	0.05635186099
209	0.05634986887
210	0.05634741261
211	0.0563461492
212	0.05634440051
213	0.05634349866
214	0.05634184918
215	0.056338285
216	0.05633644421
217	0.05633460685
218	0.0563333008
219	0.05633173088
220	0.05633032182
221	0.05632811299
222	0.05632611977
223	0.05632487949
224	0.05632266838
225	0.05632034132
226	0.05631837709
227	0.05631743677
228	0.056315926
229	0.05631380688
230	0.05631233082
231	0.05631048088
232	0.05630852756
233	0.05630645874
234	0.05630457989
235	0.05630259829
236	0.05629773675
237	0.0562946638
238	0.056293509
239	0.05629080503
240	0.05628939026
241	0.05628684803
242	0.05628502905
243	0.05628245304
244	0.05628038661
245	0.0562779415
246	0.05627398141
247	0.05627186207
248	0.05626996293
249	0.05626824508
250	0.05626589936
251	0.05626470056
252	0.05626265447
253	0.05626117953
254	0.0562583747
255	0.05625714288
256	0.0562559665
257	0.05625298089
258	0.05625085749
259	0.05624787156
260	0.05624594082
261	0.05624370407
262	0.05624149519
263	0.05623943245
264	0.05623771047
